Show,Sentiment,Review
Ramy,1,"Ramy is still very funny and is as smart and easy to love as it ever was, and everything that made the first season award-worthy is present and stronger in its second go-round."
You,1,"You season three still remains television worth the watch thanks to Penn Badgley's consistently pitch-perfect performance, and the show's signature mystery-driven twists and turns."
The Great,1,"Clever, irreverent, and touching, Season 2 establishes The Great as one of the best comedies on television right now. It strikes a perfect balance between humor and heartbreak -- a masterful feat."
Bridgerton,1,"Still beautiful, still fun and still excellent."
Love Life,1,"Marcus doesn't always get it right, but this season of Love Life is sharp, funny and insightful, and Harper gives a terrific performance."
The Crown,1,Sheesh. It's still a great watch.
Fleabag,1,"Her writing remains as confident and her humor as cutting as ever - these episodes give us some of the funniest TV moments going right now, and may be the year's best."
The Boys,1,"“The Boys” returns for a third season of head-popping gore, dark humor and psychotic superheroes — and it’s a rollicking ride."
Boardwalk Empire,1,"It's been a great ride, even with the misfires of Seasons 4 and 5."
Foundation,0,"For people who know or are fans of Isaac Asimov and his work, I feel compelled to warn you that if you watch the show you will see a scene so enraging that you will tear your TV in two with your bare hands."
Queer as Folk,1,"A continually fun, moving, gripping ride and one of the most exciting shows on television."
Stranger Things,1,Best season yet.
The Crown,1,Best season yet.
We Own This City,1,"If you're a fan of The Wire (as I am) and consider that David Simon series the best TV show ever, then you will love HBO's We Love This City."
After Life,1,After Life remains a cleverly constructed dark comedy. [Full review in Spanish]
Barry,1,One of the best shows on TV is finally back.
The Owl House,1,"The Owl House is brilliant. It’s sharp and funny, with evocative world-building and compelling characters. It’s funny and heartful and gorgeously animated."
Borgen,1,"It’s a terrific, nuanced portrait of power and its downsides, especially the recognition that, for women in particular, family life does not sit well with a form of governance that nowadays is always “on”."
Marvel's Daredevil,1,"Vincent D'Onofrio continues to give a rich, powerful, and intense performance as Fisk. Many say that he is one of the best comic book villains in the MCU and I would argue he's one of the best in the superhero genre."
Inventing Anna,1,"It is one of those shows that plunges you straight into the heartless world of the very, very rich and it is fascinating."
The Queen's Gambit,1,"When coupled with its earnest and talented cast and its lush and stunning aesthetics, The Queen's Gambit is easily one of the strongest binge-worthy shows of the fall season."
Stranger Things,1,Season 4 may just be the best one yet which shows how well the cast and crew have done creating something worthwhile.
